plant name,proportion of yards
species1,0.001149425
species2,0.001149425
species4,0.001149425
species6,0.001149425
species10,0.001149425
species12,0.001149425
species13,0.001149425
species14,0.001149425
species16,0.001149425
species17,0.001149425
species20,0.001149425
species21,0.001149425
species22,0.001149425
species25,0.001149425
species26,0.001149425
species32,0.001149425
species36,0.001149425
species37,0.001149425
species39,0.001149425
species40,0.001149425
species41,0.001149425
species43,0.001149425
species48,0.001149425
species50,0.001149425
species53,0.001149425
species56,0.001149425
species60,0.001149425
species63,0.001149425
species66,0.001149425
species68,0.001149425
species73,0.001149425
species77,0.001149425
species80,0.001149425
species91,0.001149425
species94,0.001149425
species98,0.001149425
species100,0.001149425
species103,0.001149425
species108,0.001149425
species110,0.001149425
species117,0.001149425
species118,0.001149425
species120,0.001149425
species124,0.001149425
species128,0.001149425
species134,0.001149425
species138,0.001149425
species148,0.001149425
species149,0.001149425
species154,0.001149425
species156,0.001149425
species157,0.001149425
species158,0.001149425
species165,0.001149425
species169,0.001149425
species178,0.001149425
species179,0.001149425
species180,0.001149425
species182,0.001149425
species183,0.001149425
species184,0.001149425
species185,0.001149425
species186,0.001149425
species187,0.001149425
species188,0.001149425
species189,0.001149425
species190,0.001149425
species191,0.001149425
species192,0.001149425
species193,0.001149425
species194,0.001149425
species195,0.001149425
species197,0.001149425
species198,0.001149425
species199,0.001149425
species200,0.001149425
species201,0.001149425
species202,0.001149425
species203,0.001149425
species204,0.001149425
species205,0.001149425
species206,0.001149425
species207,0.001149425
species208,0.001149425
species209,0.001149425
species210,0.001149425
species211,0.001149425
species212,0.001149425
species213,0.001149425
species214,0.001149425
species215,0.001149425
species216,0.001149425
species217,0.001149425
species218,0.001149425
species219,0.001149425
species220,0.001149425
species221,0.001149425
species222,0.001149425
species223,0.001149425
species224,0.001149425
species225,0.001149425
species233,0.001149425
species235,0.001149425
species236,0.001149425
species239,0.001149425
species240,0.001149425
species244,0.001149425
species245,0.001149425
species255,0.001149425
species257,0.001149425
species259,0.001149425
species267,0.001149425
species268,0.001149425
species269,0.001149425
species270,0.001149425
species273,0.001149425
species275,0.001149425
species278,0.001149425
species279,0.001149425
species282,0.001149425
species285,0.001149425
species289,0.001149425
species293,0.001149425
species294,0.001149425
species296,0.001149425
species297,0.001149425
species299,0.001149425
species304,0.001149425
species314,0.001149425
species315,0.001149425
species319,0.001149425
species325,0.001149425
species326,0.001149425
species327,0.001149425
species329,0.001149425
species330,0.001149425
species334,0.001149425
species335,0.001149425
species339,0.001149425
species340,0.001149425
species341,0.001149425
species344,0.001149425
species345,0.001149425
species346,0.001149425
species347,0.001149425
species348,0.001149425
species353,0.001149425
species354,0.001149425
species357,0.001149425
species361,0.001149425
species363,0.001149425
species365,0.001149425
species366,0.001149425
species373,0.001149425
species375,0.001149425
species380,0.001149425
species381,0.001149425
species382,0.001149425
species384,0.001149425
species386,0.001149425
species395,0.001149425
species18,0.002298851
species27,0.002298851
species34,0.002298851
species38,0.002298851
species57,0.002298851
species58,0.002298851
species65,0.002298851
species76,0.002298851
species88,0.002298851
species106,0.002298851
species112,0.002298851
species114,0.002298851
species121,0.002298851
species123,0.002298851
species127,0.002298851
species132,0.002298851
species133,0.002298851
species136,0.002298851
species137,0.002298851
species139,0.002298851
species152,0.002298851
species163,0.002298851
species168,0.002298851
species173,0.002298851
species181,0.002298851
species238,0.002298851
species241,0.002298851
species250,0.002298851
species258,0.002298851
species271,0.002298851
species272,0.002298851
species274,0.002298851
species283,0.002298851
species318,0.002298851
species336,0.002298851
species337,0.002298851
species352,0.002298851
species355,0.002298851
species362,0.002298851
species376,0.002298851
species377,0.002298851
species7,0.003448276
species8,0.003448276
species19,0.003448276
species30,0.003448276
species31,0.003448276
species35,0.003448276
species45,0.003448276
species54,0.003448276
species55,0.003448276
species62,0.003448276
species71,0.003448276
species82,0.003448276
species83,0.003448276
species84,0.003448276
species85,0.003448276
species87,0.003448276
species93,0.003448276
species95,0.003448276
species96,0.003448276
species101,0.003448276
species105,0.003448276
species111,0.003448276
species116,0.003448276
species122,0.003448276
species125,0.003448276
species140,0.003448276
species145,0.003448276
species147,0.003448276
species162,0.003448276
species196,0.003448276
species229,0.003448276
species246,0.003448276
species247,0.003448276
species265,0.003448276
species277,0.003448276
species284,0.003448276
species286,0.003448276
species300,0.003448276
species301,0.003448276
species312,0.003448276
species317,0.003448276
species320,0.003448276
species351,0.003448276
species360,0.003448276
species369,0.003448276
species370,0.003448276
species372,0.003448276
species379,0.003448276
species385,0.003448276
species388,0.003448276
species389,0.003448276
species33,0.004597701
species67,0.004597701
species89,0.004597701
species107,0.004597701
