"BehaviorSpace results (NetLogo 6.2.2)"
"birds_human_feedback_v8.nlogo"
"experiment"
"10/17/2023 13:21:28:473 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","max-bird","mean-vegetation-volume","dispersal-distance","habitat-radius","[step]","count turtles","count patches with [bird-love = 0]","count patches with [bird-love = 1]","count patches with [bird-love = 2]","count patches with [bird-love = 3]","count patches with [bird-love = 4]","count patches with [bird-love = 5]","count patches with [bird-love = 6]","count patches with [bird-love = 7]","count patches with [bird-love = 8]","count patches with [bird-love = 9]","count patches with [bird-love = 10]"
"1","5","4","2","1","0","110","0","0","1","2","10","33","107","130","100","50","8"
"1","5","4","2","1","1","154","0","0","1","2","10","33","110","128","99","50","8"
"1","5","4","2","1","2","183","0","0","1","2","9","35","106","128","101","50","9"
"1","5","4","2","1","3","189","0","0","1","2","9","35","107","128","100","50","9"
"1","5","4","2","1","4","209","0","0","1","2","9","34","107","129","101","49","9"
"1","5","4","2","1","5","225","0","0","1","2","10","35","107","126","103","48","9"
"1","5","4","2","1","6","208","0","0","1","2","10","37","106","126","102","48","9"
"1","5","4","2","1","7","224","0","0","1","2","10","37","106","126","102","49","8"
"1","5","4","2","1","8","232","0","0","1","2","10","37","107","127","101","48","8"
"1","5","4","2","1","9","243","0","0","2","2","10","46","96","113","106","51","15"
"1","5","4","2","1","10","240","0","0","2","2","13","43","96","113","106","51","15"
"1","5","4","2","1","11","230","0","0","2","2","14","42","97","113","106","50","15"
"1","5","4","2","1","12","236","0","0","2","3","14","41","97","111","108","50","15"
"1","5","4","2","1","13","240","0","0","2","4","14","42","97","110","108","49","15"
"1","5","4","2","1","14","246","0","0","2","5","16","36","95","110","102","55","20"
"1","5","4","2","1","15","236","0","0","2","5","18","34","96","112","99","55","20"
"1","5","4","2","1","16","233","0","0","2","5","18","36","97","113","95","55","20"
"1","5","4","2","1","17","231","0","0","2","5","19","34","99","112","95","55","20"
"1","5","4","2","1","18","233","0","0","2","5","19","36","99","110","96","54","20"
"1","5","4","2","1","19","250","0","0","2","6","18","36","100","108","97","54","20"
"1","5","4","2","1","20","264","0","0","2","6","18","37","100","108","96","54","20"
"1","5","4","2","1","21","252","0","0","2","6","18","37","101","107","98","52","20"
"1","5","4","2","1","22","246","0","0","2","6","18","37","104","106","96","52","20"
"1","5","4","2","1","23","275","0","0","2","7","19","45","76","89","92","64","47"
"1","5","4","2","1","24","276","0","0","2","8","18","46","74","91","91","64","47"
"1","5","4","2","1","25","275","0","0","2","8","18","47","72","92","91","64","47"
"1","5","4","2","1","26","259","0","0","2","8","18","47","74","90","92","63","47"
"1","5","4","2","1","27","265","0","0","2","8","18","47","75","89","92","63","47"
"1","5","4","2","1","28","296","0","0","2","8","18","47","75","90","91","63","47"
"1","5","4","2","1","29","279","0","0","2","8","18","47","77","88","91","63","47"
"1","5","4","2","1","30","276","0","0","2","8","18","49","75","88","91","64","46"
"1","5","4","2","1","31","285","0","0","2","8","18","50","75","89","89","65","45"
"1","5","4","2","1","32","293","0","0","2","8","18","52","75","88","89","66","43"
"1","5","4","2","1","33","304","0","0","2","8","23","46","64","87","89","70","52"
"1","5","4","2","1","34","306","0","0","4","7","22","47","63","89","87","71","51"
"1","5","4","2","1","35","298","0","0","4","7","22","48","61","90","87","71","51"
"1","5","4","2","1","36","308","0","0","4","7","22","50","61","89","87","70","51"
"1","5","4","2","1","37","317","0","0","4","7","22","51","61","88","87","70","51"
"1","5","4","2","1","38","323","0","0","4","7","22","51","61","88","87","70","51"
"1","5","4","2","1","39","304","0","0","4","7","23","50","61","88","89","68","51"
"1","5","4","2","1","40","323","0","0","4","8","23","50","61","89","88","67","51"
"1","5","4","2","1","41","316","0","0","4","8","23","49","62","90","90","65","50"
"1","5","4","2","1","42","309","0","0","4","8","23","49","62","92","88","65","50"
"1","5","4","2","1","43","331","0","0","4","10","21","51","59","92","91","63","50"
"1","5","4","2","1","44","309","0","0","4","11","21","51","59","91","91","63","50"
"1","5","4","2","1","45","320","0","0","4","11","21","51","61","89","91","64","49"
"1","5","4","2","1","46","316","0","0","4","11","21","51","60","90","91","64","49"
"1","5","4","2","1","47","312","0","0","4","11","21","52","59","90","91","64","49"
"1","5","4","2","1","48","335","0","3","4","11","25","28","51","75","80","80","84"
"1","5","4","2","1","49","334","1","2","4","11","25","29","50","75","80","81","83"
"1","5","4","2","1","50","346","1","2","4","11","25","30","49","75","81","80","83"
"1","5","4","2","1","51","350","1","2","4","11","24","30","51","74","81","81","82"
"1","5","4","2","1","52","342","1","2","4","11","24","30","51","76","81","81","80"
"1","5","4","2","1","53","352","1","2","4","11","24","30","51","76","81","81","80"
"1","5","4","2","1","54","357","1","2","4","11","24","30","52","79","82","78","78"
"1","5","4","2","1","55","343","1","2","4","12","23","31","52","80","81","77","78"
"1","5","4","2","1","56","354","1","3","3","12","23","33","50","82","79","79","76"
"1","5","4","2","1","57","366","1","3","3","12","23","33","50","82","79","78","77"
"1","5","4","2","1","58","354","1","3","3","12","23","33","52","81","79","78","76"
"1","5","4","2","1","59","350","1","3","3","12","23","33","52","81","80","78","75"
"1","5","4","2","1","60","371","1","3","4","11","24","32","52","81","80","78","75"
"1","5","4","2","1","61","366","1","3","4","12","23","32","52","82","79","79","74"
"1","5","4","2","1","62","338","1","3","4","12","24","31","52","83","78","80","73"
"1","5","4","2","1","63","356","3","2","8","12","20","26","52","52","70","71","125"
"1","5","4","2","1","64","361","3","2","8","12","20","26","52","52","72","71","123"
"1","5","4","2","1","65","370","3","2","8","12","19","26","53","51","72","72","123"
"1","5","4","2","1","66","387","3","2","8","12","19","25","55","51","72","72","122"
"1","5","4","2","1","67","372","3","2","8","13","18","26","55","50","73","72","121"
"1","5","4","2","1","68","385","3","2","8","13","17","26","55","51","73","74","119"
"1","5","4","2","1","69","391","3","2","8","14","16","28","54","50","73","76","117"
"1","5","4","2","1","70","400","3","2","9","13","17","28","53","50","73","76","117"
"1","5","4","2","1","71","387","3","2","9","13","17","28","52","50","76","74","117"
"1","5","4","2","1","72","378","3","2","9","14","17","28","52","53","74","74","115"
"1","5","4","2","1","73","406","3","2","9","14","17","28","52","52","75","75","114"
"1","5","4","2","1","74","412","3","3","8","14","17","28","53","52","75","74","114"
"1","5","4","2","1","75","398","2","3","8","15","16","28","54","53","75","73","114"
"1","5","4","2","1","76","382","2","7","6","18","17","27","38","59","57","72","138"
"1","5","4","2","1","77","417","2","7","8","16","18","26","38","59","57","74","136"
"1","5","4","2","1","78","410","2","7","8","15","18","27","38","60","58","73","135"
"1","5","4","2","1","79","408","2","7","8","15","18","27","38","62","56","73","135"
"1","5","4","2","1","80","408","2","7","9","14","19","26","38","63","55","73","135"
"1","5","4","2","1","81","411","2","7","9","14","19","26","38","63","55","73","135"
"1","5","4","2","1","82","405","2","7","9","15","18","26","38","63","56","73","134"
"1","5","4","2","1","83","413","4","6","9","16","17","25","25","59","56","70","154"
"1","5","4","2","1","84","441","4","6","9","15","17","25","27","58","57","70","153"
"1","5","4","2","1","85","419","4","6","9","13","17","25","30","57","57","70","153"
"1","5","4","2","1","86","422","4","6","9","13","18","25","29","57","57","70","153"
"1","5","4","2","1","87","434","4","6","9","13","18","25","30","56","57","70","153"
"1","5","4","2","1","88","454","4","6","9","13","18","25","31","54","58","71","152"
"1","5","4","2","1","89","446","4","10","8","10","20","19","31","49","63","64","163"
"1","5","4","2","1","90","451","4","10","8","10","21","18","34","47","64","62","163"
"1","5","4","2","1","91","459","4","10","8","10","21","18","34","47","64","64","161"
"1","5","4","2","1","92","449","4","10","8","10","22","18","35","46","64","65","159"
"1","5","4","2","1","93","442","4","10","8","11","21","18","36","47","62","66","158"
"1","5","4","2","1","94","470","4","10","8","11","21","18","37","47","61","67","157"
"1","5","4","2","1","95","445","4","10","8","11","22","17","37","48","60","67","157"
"1","5","4","2","1","96","469","4","10","8","11","22","19","35","48","61","67","156"
"1","5","4","2","1","97","488","4","10","8","11","22","20","35","49","61","65","156"
"1","5","4","2","1","98","470","4","10","8","11","22","20","35","49","62","66","154"
"1","5","4","2","1","99","460","6","10","6","18","17","20","28","47","56","64","169"
"1","5","4","2","1","100","469","6","12","4","18","17","20","28","47","57","63","169"
