[run number],change-chance,max-tick,veg-chance,NN,EoE,Potential NN,Risk of EoE
1,0.1,25,0.005,116,15,427,65
2,0.1,25,0.01,186,5,360,74
4,0.1,25,0.02,242,1,319,62
3,0.1,25,0.015,219,6,327,73
5,0.1,50,0.005,174,31,336,84
6,0.1,50,0.01,212,10,308,95
7,0.1,50,0.015,269,2,259,95
8,0.1,50,0.02,272,5,255,93
17,0.15,25,0.005,120,26,391,86
18,0.15,25,0.01,157,22,362,83
9,0.1,75,0.005,189,48,291,97
10,0.1,75,0.01,262,23,236,104
19,0.15,25,0.015,188,13,331,93
20,0.15,25,0.02,200,10,320,95
21,0.15,50,0.005,198,52,278,97
13,0.1,100,0.005,231,47,249,98
22,0.15,50,0.01,224,29,266,106
11,0.1,75,0.015,259,5,206,155
23,0.15,50,0.015,265,13,233,114
24,0.15,50,0.02,293,16,193,123
14,0.1,100,0.01,275,25,210,115
12,0.1,75,0.02,313,11,168,133
25,0.15,75,0.005,197,72,252,104
15,0.1,100,0.015,297,8,145,175
33,0.2,25,0.005,159,40,335,91
34,0.2,25,0.01,173,43,324,84
26,0.15,75,0.01,265,46,206,108
35,0.2,25,0.015,211,27,296,91
36,0.2,25,0.02,224,13,295,93
16,0.1,100,0.02,346,5,107,167
27,0.15,75,0.015,283,24,161,157
28,0.15,75,0.02,316,22,120,167
37,0.2,50,0.005,185,62,257,121
38,0.2,50,0.01,217,55,250,103
29,0.15,100,0.005,219,65,232,109
39,0.2,50,0.015,255,21,216,133
40,0.2,50,0.02,256,28,205,136
30,0.15,100,0.01,278,50,155,142
41,0.2,75,0.005,206,113,216,90
49,0.25,25,0.005,134,50,334,107
50,0.25,25,0.01,161,44,325,94
31,0.15,100,0.015,296,23,116,190
42,0.2,75,0.01,275,61,192,97
51,0.25,25,0.015,187,26,305,107
52,0.25,25,0.02,217,19,289,100
32,0.15,100,0.02,296,12,104,213
44,0.2,75,0.02,300,21,97,207
43,0.2,75,0.015,281,31,155,158
45,0.2,100,0.005,228,95,187,115
53,0.25,50,0.005,178,111,232,104
54,0.25,50,0.01,221,66,234,104
46,0.2,100,0.01,300,84,128,113
55,0.25,50,0.015,268,55,196,106
56,0.25,50,0.02,292,53,151,129
57,0.25,75,0.005,221,107,192,105
65,0.3,25,0.005,150,62,317,96
47,0.2,100,0.015,263,42,99,221
66,0.3,25,0.01,184,49,292,100
58,0.25,75,0.01,259,68,181,117
67,0.3,25,0.015,214,24,285,102
68,0.3,25,0.02,214,36,276,98
59,0.25,75,0.015,288,46,131,160
48,0.2,100,0.02,304,50,69,202
61,0.25,100,0.005,235,105,185,100
69,0.3,50,0.005,170,103,244,108
60,0.25,75,0.02,303,27,98,197
70,0.3,50,0.01,215,76,232,102
71,0.3,50,0.015,259,56,186,124
72,0.3,50,0.02,290,45,151,139
62,0.25,100,0.01,296,69,115,145
73,0.3,75,0.005,208,152,183,82
74,0.3,75,0.01,268,62,178,117
81,0.35,25,0.005,142,65,304,114
63,0.25,100,0.015,307,69,59,190
82,0.35,25,0.01,177,76,275,97
75,0.3,75,0.015,272,63,138,152
83,0.35,25,0.015,205,48,276,95
84,0.35,25,0.02,234,24,270,97
64,0.25,100,0.02,282,63,56,224
77,0.3,100,0.005,247,119,171,88
76,0.3,75,0.02,269,61,89,206
85,0.35,50,0.005,186,119,215,105
86,0.35,50,0.01,221,78,222,104
87,0.35,50,0.015,283,61,180,101
78,0.3,100,0.01,295,85,111,134
88,0.35,50,0.02,269,45,160,151
89,0.35,75,0.005,230,138,169,88
90,0.35,75,0.01,283,79,159,104
79,0.3,100,0.015,267,62,70,226
80,0.3,100,0.02,282,64,61,218
91,0.35,75,0.015,319,85,99,122
93,0.35,100,0.005,255,141,157,72
92,0.35,75,0.02,297,50,68,210
94,0.35,100,0.01,304,94,100,127
95,0.35,100,0.015,298,89,59,179
96,0.35,100,0.02,284,99,42,200
